,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
21,prerank,MSigDB_Hallmark_2020__Cholesterol Homeostasis,0.41496416361763944,1.4128315877198232,0.05057471264367816,0.05187106738670539,0.378,13/66,8.36%,PLSCR1;S100A11;CLU;ANXA5;FBXO6;STX5;FABP5;ATXN2;ETHE1;FDPS;LDLR;ALCAM;LGALS3
22,prerank,MSigDB_Hallmark_2020__KRAS Signaling Up,0.3625632172314443,1.40859804374566,0.02977667493796526,0.05080514903822622,0.389,34/154,11.94%,GLRX;FCER1G;RETN;RABGAP1L;LAT2;PSMB8;CTSS;ID2;LY96;C3AR1;JUP;HBEGF;AVL9;HDAC9;CXCL10;LCP1;ERO1A;CD37;ITGB2;PPBP;GNG11;ZNF277;DOCK2;LAPTM5;CXCR4;CCSER2;PRELID3B;ADAM17;TNFAIP3;EPHB2;MTMR10;F13A1;FUCA1;AKT2
23,prerank,MSigDB_Hallmark_2020__PI3K/AKT/mTOR  Signaling,0.3788571808831288,1.3609039513518963,0.05,0.07076990847241936,0.512,33/94,16.44%,STAT2;ARPC3;RAC1;TNFRSF1A;CFL1;ACTR3;MYD88;RALB;MAPKAP1;MAP2K6;GRB2;YWHAB;SLA;MKNK1;PPP1CA;UBE2N;CSNK2B;CALR;CXCR4;MAP3K7;EIF4E;ACTR2;RIT1;AP2M1;DDIT3;TIAM1;ARF1;PIN1;DAPP1;ECSIT;AKT1;SQSTM1;CDKN1A
24,prerank,MSigDB_Hallmark_2020__IL-2/STAT5 Signaling,0.3506321311066828,1.3534075825197756,0.015503875968992248,0.07120831789227854,0.529,39/181,12.72%,IFITM3;TNFSF10;PLSCR1;FGL2;GSTO1;RABGAP1L;SELL;GLIPR2;ARL4A;GBP4;CAPG;GPR65;MXD1;IL1R2;CD48;LRRC8C;GADD45B;CXCL10;CCND3;BATF;PTGER2;RNH1;BMPR2;PLIN2;ALCAM;P2RX4;GPX4;HUWE1;PNP;DCPS;SYNGR2;FAH;NDRG1;PHTF2;SNX9;TLR7;P4HA1;IFNGR1;ITGAV
25,prerank,MSigDB_Hallmark_2020__Oxidative Phosphorylation,0.3388540877560711,1.3505617557418519,0.014742014742014743,0.07016966196644137,0.549,72/199,15.34%,ATP6V0E1;NDUFA9;LDHA;UQCR10;UQCRFS1;CYCS;ACADM;SDHD;NDUFB3;SDHC;SUCLG1;MRPS11;ATP5F1C;ATP6V1E1;IDH1;UQCRC1;MGST3;MRPS22;HADHB;TIMM8B;NDUFB5;PDHB;NDUFS6;ATP5F1B;NDUFV2;DECR1;ALAS1;SDHA;NDUFS7;CYB5A;ISCU;ACAA1;NDUFA5;MDH2;ATP6AP1;MDH1;COX7B;ATP5PD;GPX4;ATP5PF;NDUFA7;PDK4;IDH3A;SDHB;PRDX3;NDUFA4;PHYH;ETFB;MTX2;VDAC3;SURF1;ECHS1;ECH1;ACAT1;PDHA1;NDUFS1;AIFM1;ATP6V1H;COX5B;HSD17B10;SLC25A20;HCCS;ATP6V0B;NDUFS3;NDUFC1;NDUFA3;CASP7;POLR2F;NDUFB4;MRPL11;MRPS12;COX6A1
26,prerank,MSigDB_Hallmark_2020__Wnt-beta Catenin Signaling,-0.4478080764839534,-1.3096897098677662,0.12746858168761221,0.13863167506510196,0.803,11/36,13.35%,LEF1;CTNNB1;TP53;TCF7;SKP2;NUMB;CSNK1E;JAG1;MYC;FZD1;CCND2
27,prerank,MSigDB_Hallmark_2020__Apoptosis,0.33507287698902444,1.2917544879762919,0.02962962962962963,0.10908827804295688,0.723,29/150,8.96%,IFITM3;TNFSF10;CASP1;CLU;TIMP1;GCH1;DNAJA1;HMGB2;LMNA;TAP1;ISG20;H1-0;BNIP3L;FAS;CD14;IRF1;HMOX1;DNM1L;GADD45B;DPYD;GSN;CASP4;IL18;GPX1;LGALS3;RELA;GPX4;SAT1;PAK1
28,prerank,MSigDB_Hallmark_2020__Unfolded Protein Response,-0.36645386532033264,-1.2886061222381802,0.06814310051107325,0.1373736007304948,0.85,42/108,17.30%,RPS14;NPM1;VEGFA;EEF2;EDEM1;CNOT2;BANF1;SLC7A5;NABP1;ATF4;KHSRP;HYOU1;EIF4G1;SPCS1;DNAJB9;DKC1;GEMIN4;DNAJA4;FKBP14;SRPRA;CNOT6;WIPI1;EXOSC4;CKS1B;EIF2AK3;SEC11A;EXOSC5;NOLC1;MTREX;NOP14;SPCS3;IMP3;SSR1;PDIA5;HSPA9;NFYA;SERP1;HSPA5;TSPYL2;SRPRB;ZBTB17;HSP90B1
29,prerank,MSigDB_Hallmark_2020__Estrogen Response Late,0.3154850899402392,1.2066008776226411,0.10837438423645321,0.1959114417633335,0.905,19/150,7.34%,S100A9;SERPINA1;BLVRB;FKBP5;JAK2;ID2;PTPN6;HPRT1;ISG20;TOB1;AREG;BATF;DNAJC1;ADD3;FABP5;PLAAT3;MYOF;BAG1;RABEP1
30,prerank,MSigDB_Hallmark_2020__heme Metabolism,0.30278469740800074,1.189215854769199,0.09290953545232274,0.2125515148548774,0.925,39/179,13.27%,BLVRA;BLVRB;TOP1;LAMP2;MPP1;CTSB;NFE2;CAST;H1-0;BSG;BNIP3L;MGST3;CCDC28A;SDCBP;CCND3;UCP2;RAD23A;PSMD9;SIDT2;TMEM9B;ACP5;KLF3;SLC25A37;HAGH;H4C3;KAT2B;DCUN1D1;LRP10;UROD;PICALM;TCEA1;HTATIP2;CDC27;USP15;GMPS;HEBP1;MXI1;FBXO7;DCAF11
31,prerank,MSigDB_Hallmark_2020__UV Response Up,0.3034292226779533,1.134216989897102,0.21291866028708134,0.2954409400496229,0.978,28/137,10.35%,ALDOA;TMBIM6;GCH1;DNAJA1;SELENOW;PRKCD;NFKBIA;CREG1;TAP1;BSG;SULT1A1;HLA-F;IRF1;HMOX1;NUP58;CLTB;CCND3;ALAS1;LYN;MGAT1;ACAA1;STIP1;CYB5R1;PSMC3;AP2S1;POLR2H;UROD;NXF1
32,prerank,MSigDB_Hallmark_2020__TGF-beta Signaling,0.3523103593410806,1.1244107625313784,0.2524271844660194,0.30165126704698925,0.981,16/51,18.19%,RHOA;ID2;IFNGR2;ID1;BMPR2;PPP1CA;MAP3K7;SPTBN1;FKBP1A;XIAP;SKIL;HDAC1;TRIM33;ENG;KLF10;TGIF1
33,prerank,MSigDB_Hallmark_2020__Androgen Response,0.31251848916249403,1.1169836470712735,0.22747747747747749,0.30708587091045125,0.986,19/90,12.88%,B2M;MYL12A;FKBP5;RRP12;H1-0;TMEM50A;CCND3;DBI;PTK2B;SMS;SAT1;LMAN1;ADRM1;ACSL3;NDRG1;XRCC6;SRP19;ITGAV;PDLIM5
34,prerank,MSigDB_Hallmark_2020__p53 Pathway,0.27948712437103546,1.1117527937063947,0.2182741116751269,0.30714313441879226,0.988,30/183,9.03%,CTSD;S100A10;DDIT4;CASP1;S100A4;APAF1;TCN2;MXD1;UPP1;HBEGF;TAP1;H2AJ;TRAFD1;FAS;DNTTIP2;TOB1;HMOX1;MAPKAPK3;H1-2;ZBTB16;CCND3;TAX1BP3;ISCU;VAMP8;STOM;SERTAD3;KIF13B;GM2A;SAT1;IFI30
35,prerank,MSigDB_Hallmark_2020__Spermatogenesis,-0.32144815332007265,-1.1034686549958461,0.27884615384615385,0.4421232661619553,0.998,25/85,23.85%,SPATA6;PEBP1;DBF4;CSNK2A2;TLE4;NF2;CAMK4;TSN;PHF7;PARP2;PIAS2;STRBP;COIL;IFT88;PRKAR2A;IP6K1;MTOR;MLLT10;RFC4;CHFR;SIRT1;MAST2;TKTL1;OAZ3;CLPB
36,prerank,MSigDB_Hallmark_2020__Pperoxisome,0.30125588353720933,1.0772740727963062,0.28132387706855794,0.36423408872138746,0.997,17/88,8.66%,GSTK1;CNBP;YWHAH;ACSL1;IDH1;PRDX1;HSD17B4;IDE;HSD17B11;PRDX5;ACSL4;RDH11;ACSL5;ACAA1;LONP2;FDPS;GNPAT
37,prerank,MSigDB_Hallmark_2020__Hedgehog Signaling,-0.4028152331787676,-1.075896604902815,0.35233160621761656,0.45336331969292165,0.999,6/24,10.54%,VEGFA;TLE3;LDB1;RTN1;NRP2;CDK5R1
38,prerank,MSigDB_Hallmark_2020__Epithelial Mesenchymal Transition,0.2859004373012868,1.0695029066593897,0.2913752913752914,0.37024382619075064,0.997,18/127,7.84%,EMP3;TIMP1;LGALS1;CAPG;ID2;PPIB;FAS;IL15;GADD45B;AREG;GLIPR1;WIPF1;QSOX1;VIM;COLGALT1;ANPEP;VCAN;NOTCH2
